class_id,character,playerGuid,matches
1,Suka,22166,467
1,Seb,57254,218
1,Erchal,22061,214
1,Worship,22080,194
1,Eighteenplus,22137,168
1,Strong,22071,152
1,Hench,22075,89
1,Athan,22220,77
1,Boce,22048,73
1,Lmaoxo,57200,68
1,Todorobozo,22180,61
1,Clement,57187,53
1,Xadm,57227,48
1,Ape,57225,40
1,Hammyofdoom,57369,40
1,Tomoenage,22447,39
1,Cleaver,57175,36
1,Ibmab,22127,32
1,Proty,57205,30
1,Mícro,22323,28
1,Meld,57393,25
1,Worldbeast,22385,23
1,Rikke,22418,21
1,Traptime,22216,17
1,Bruteforce,22186,15
1,Crepes,57411,12
1,Superman,57350,11
1,Sica,57386,8
1,Wellington,22209,7
1,Execudead,57248,7
1,Undrmapnjoyr,22079,6
1,Stinkdeathx,22257,6
1,Metrö,57217,6
1,Dnbaddiction,22092,4
1,Real,22393,3
1,Thenaryon,22096,2
1,Watchuwillis,22134,2
1,Hammy,57244,2
1,Fryar,57499,2
1,Kefiras,22225,1
1,Smokingdrake,57210,1
2,Shto,57230,150
2,Muffinman,22085,147
2,Larry,57234,106
2,Qtxoxo,22278,102
2,Chokopapa,22276,101
2,Jæ,57344,93
2,Jonas,22068,92
2,Pally,22109,84
2,Prosthodonti,57144,74
2,Boondux,22130,65
2,Ezeerd,57404,40
2,Rakim,57322,28
2,Expectation,57276,27
2,Affinity,22086,20
2,Taka,57204,19
2,Chatgpt,57242,18
2,Videogamer,57491,17
2,Beef,22243,15
2,Zoulette,22265,15
2,Carapils,57343,14
2,Youknowhoiam,22108,10
2,Firebush,57309,9
2,Neylin,22460,7
2,Fiftysix,57198,6
2,Clicdroit,57364,6
2,Lhagic,57232,5
2,Matty,57298,4
2,Stinkadin,22251,3
2,Spicythaifoo,57246,3
2,Mollymayhem,57389,3
2,Squritle,57410,3
2,Iwannakms,22184,2
2,No,57190,2
2,Mvpqt,57394,2
2,Kek,22271,1
2,Eric,22370,1
2,Hujia,22421,1
2,Marceljr,57133,1
2,Elaineho,57193,1
2,Holys,57269,1
3,Nasral,22062,340
3,Almostwenty,22042,264
3,Allen,22308,163
3,Azlaraz,57132,109
3,Pewpew,22384,98
3,Seeyah,22113,68
3,Robbinhoots,57213,68
3,Ioljk,22224,64
3,Kited,22399,60
3,Hunteroflife,57302,59
3,Fiftysixk,56990,54
3,Saelryth,57352,49
3,Lobotomized,57188,45
3,Kekojhones,57310,43
3,Metalnagel,22363,41
3,Vibratoreq,57409,40
3,Legolasmeuf,22104,37
3,Hawkeye,22059,36
3,Daboo,22333,35
3,Dillpill,57209,35
3,Gutbleed,22285,30
3,Vaeney,22102,26
3,Dapr,22420,25
3,Fifty,57255,19
3,Bocé,57419,19
3,Clutch,22215,15
3,String,57272,14
3,Gigachad,22233,13
3,Epstein,57148,12
3,Dima,22117,9
3,Smplyperfect,57392,6
3,Professoroak,57476,6
3,Aped,56997,4
3,Mewto,57333,4
3,Kekx,22275,3
3,Veryannoying,22406,3
3,Xdlol,22192,2
3,Iolnoob,22217,2
3,Mecks,22303,2
3,Carlsinss,22316,2
3,Cyclone,22334,2
3,Hoop,57308,2
3,Laserkjell,57315,2
3,Cheweh,57383,2
3,Turok,57505,2
3,Vae,22030,1
3,Pewpewpew,22389,1
3,Huntard,56993,1
3,Metrowinlog,57219,1
3,Daddy,57426,1
4,Torrent,22407,274
4,Blondinbella,22227,119
4,Den,22247,117
4,Eviscergreat,22387,106
4,Dreeze,57177,106
4,Lmaox,57158,65
4,Sujin,22419,59
4,Metro,56996,53
4,Pig,57211,50
4,Ueda,22214,46
4,Carllsins,22249,37
4,Pringle,22274,37
4,Stinkdeath,22417,34
4,Dubstep,22461,34
4,Regen,57250,34
4,Sely,22443,32
4,Boonducks,57280,22
4,Mikkelsfar,22094,20
4,Boyaredee,22239,18
4,Terror,57220,18
4,Niq,57371,18
4,Dappur,22261,12
4,West,57215,11
4,Letsgomoppls,22477,9
4,Snikitritri,22181,8
4,Yack,57146,8
4,Annegank,57432,7
4,Jeffepstein,22267,6
4,Jalapeno,22266,5
4,Mqu,22395,5
4,Sneakysneaky,56989,5
4,Emoji,22386,4
4,Sapthis,22445,4
4,Psst,22135,3
4,Pitter,22188,3
4,Alleu,22253,3
4,Smileandwave,57473,3
4,Thelaw,22065,2
4,Kevvanyeah,22171,2
4,Peterpumper,22189,2
4,Nix,22223,2
4,Sober,22355,2
4,Kevinroxxor,22372,2
4,Srzm,22472,2
4,Luckyx,57396,2
4,Heuheu,57439,2
4,Kevvan,22169,1
4,Coolguypwner,22177,1
4,Bigpvpman,22259,1
4,Rankzero,22329,1
4,Nype,22378,1
4,Gatis,22440,1
4,Amhim,22449,1
4,Faelnirv,57224,1
4,Mavelreith,57442,1
4,Dolkbiff,57453,1
4,Fk,57497,1
5,Flowoflife,57362,209
5,Yohanna,22133,120
5,Roflocopter,57399,100
5,Aos,22066,88
5,Waliyaan,22232,83
5,Téch,22055,76
5,Iamyou,57331,76
5,Soulboy,22404,67
5,Westwood,22263,64
5,Iowercase,57306,47
5,Fubsy,22258,32
5,Marcell,57351,32
5,Ni,57366,31
5,Chomie,22402,24
5,Micro,22027,22
5,Biff,57354,18
5,Hellothere,22194,15
5,Blyatpriest,22106,14
5,Vanvi,22155,14
5,Metroh,57236,10
5,Pri,57440,9
5,Stantheman,22391,8
5,Marge,57249,6
5,Terry,57122,5
5,Carlsins,22222,3
5,Penance,22364,3
5,Healsxo,57420,3
5,Stinkbeard,22394,2
5,Roulanemesis,57143,2
5,Shadow,22260,1
5,Nsjx,22456,1
5,Sparmetaka,56992,1
5,Reverend,57360,1
5,Dubistgutgen,57370,1
5,Bighealss,57408,1
7,Recurse,22244,149
7,Seb,22031,132
7,Terriblest,57286,113
7,Outonbail,57274,90
7,Roula,22238,81
7,Yohann,22351,80
7,Zqt,22345,75
7,Apes,57305,52
7,Bóce,22264,43
7,Abihaj,57138,41
7,Stinker,22211,30
7,Arnoldschwar,57128,19
7,Waterfall,57183,16
7,Tommayzer,22074,12
7,Taco,22107,12
7,Twokx,22028,8
7,Savage,22448,8
7,Bbies,57385,7
7,Usainvolt,56998,6
7,Rektohm,57323,6
7,Ygmetro,57218,5
7,Purechocolat,57313,5
7,Napzttv,22252,3
7,Tim,57131,3
7,Cope,22365,2
7,Newfie,57481,2
7,Cheeseburger,57485,2
7,Biffpåle,57454,1
7,Просто,57500,1
8,Mostdabs,22114,134
8,Iolwp,57379,55
8,Mo,22204,39
8,Kefirdrinker,22255,36
8,Metroo,57121,29
8,Waterlily,22388,27
8,Izibouzou,22272,25
8,Larserik,22077,20
8,Monq,57259,19
8,Novad,57179,18
8,Jake,22035,15
8,Yoru,22231,15
8,Jonnyfrost,57299,15
8,Marklenders,57221,14
8,Letmetryit,57319,14
8,Tommysick,57356,14
8,Dotheroar,22242,13
8,Mageoflife,57353,8
8,Omegapoop,57154,7
8,Immage,22450,6
8,Big,22125,5
8,Lofibeater,57231,5
8,Bitcoinexper,22475,4
8,Melby,56746,4
8,Ee,22132,3
8,Sath,22240,3
8,Lanceless,22354,3
8,Kidblue,57368,3
8,Boss,22070,2
8,Stinkxdeath,22196,2
8,Karen,22268,2
8,Dawushi,22403,2
8,Benjiprice,22396,1
8,Catia,22462,1
8,Fsk,57229,1
8,Guy,57428,1
9,Sallyface,22122,157
9,Arty,22083,150
9,Walischneck,22380,106
9,Thread,22273,71
9,Mooeylock,22442,66
9,Napz,22262,65
9,Lemmedotu,57189,55
9,Jai,57318,43
9,Gary,57363,42
9,Vep,22373,39
9,Eudot,57380,34
9,Weshpd,22161,30
9,Theannefrank,57406,28
9,Dabndot,57332,25
9,Greg,57324,23
9,Stinkrot,22213,21
9,Zcovillan,22230,17
9,Obama,22131,15
9,Apedot,57195,14
9,Gnomeeater,22282,9
9,Proactive,57375,9
9,Fatjuicler,22366,6
9,Oxygraff,22124,4
9,Qwerf,57479,4
9,Cobane,57256,3
9,Maxlamenace,22383,2
9,Fofofadi,57191,2
9,Bob,57325,2
9,Linoge,22179,1
9,Chad,22250,1
9,Juicebox,57300,1
9,Bóçé,57483,1
11,Jinxx,57252,125
11,Zcoville,22229,112
11,Almostwentyx,22451,93
11,Kittypauwus,57226,50
11,Zoomies,22476,48
11,Kony,22088,40
11,Verum,22381,31
11,Drweed,57243,30
11,Tèch,22471,27
11,Nsj,22280,25
11,Boçe,22325,23
11,Olajuwon,57361,22
11,Ratgrande,57312,8
11,Chimkin,22335,7
11,Metrofc,57192,7
11,Mku,57288,7
11,Iolxd,22136,6
11,Eblan,22210,6
11,Moomoomoomoo,22416,5
11,Ndw,56988,4
11,Gippy,22245,3
11,Caarlsins,22310,3
11,Biffet,57349,3
11,Moofire,22033,2
11,Vaniti,22138,2
11,Clag,22235,2
11,Null,22336,2
11,Zxcshelly,57267,2
11,Kefir,22218,1
11,Art,22367,1
11,Leikari,22452,1
11,Cow,57341,1
11,Dxy,57384,1
11,Speedboost,57390,1
11,Ackerman,57416,1
11,Aquysinda,57444,1
