eventId,kind,at,playerGuid,name,class,team,winner,won,dispelsOffensive,dispelsDefensive,successfulInterrupts,fakeCastInterrupts,hardCCCount,hardCCDuration,softCCCount,softCCDuration,absorbsDone,healsOnFC,flagCarryTime,attemptsOnFlag,damageOnEFC,damageTaken,killingBlows,deaths,honorableKills,bonusHonor,arenaPoints,games,wins,losses,damageDone,healingDone,flagCaptures,flagReturns,deserted,timePlayed
103932,wsg,1786194476283,65102,Seb,,0,2,-1,4,0,3,0,0,0,8,44,911,1047,125,1,7,3113,3,0,3,99,0,0,0,0,1933,1380,1,0,1,296
103932,wsg,1786194476283,66223,Téch,,1,2,-1,0,0,0,0,0,0,0,0,167,0,0,0,0,1220,0,1,0,0,0,0,0,0,0,29,0,0,1,296
103932,wsg,1786194476283,66521,Arty,,1,2,-1,0,0,0,1,6,15,0,0,0,0,0,0,824,2049,1,2,3,55,0,0,0,0,2635,128,0,0,1,296
103966,wsg,1786197135058,22027,Micro,5,1,0,-1,8,8,0,1,3,9,0,0,2649,2708,18,1,0,5714,1,2,6,216,0,0,0,0,884,8136,0,0,0,1033
103966,wsg,1786197135058,22028,Twokx,7,0,0,1,8,4,0,0,2,4,64,347,900,4009,326,4,697,9906,3,2,10,357,0,0,0,0,8660,5934,2,1,0,1033
103966,wsg,1786197135058,22030,Vae,3,1,0,-1,0,0,0,0,0,0,6,23,0,0,115,2,1809,3244,1,3,1,0,0,0,0,0,3598,123,0,0,1,483
103966,wsg,1786197135058,22031,Seb,7,0,0,1,28,1,4,0,0,0,63,318,900,810,269,3,2719,14300,2,2,12,336,0,0,0,0,8275,5505,1,2,0,1033
103966,wsg,1786197135058,22032,Daboo,,1,0,-1,0,0,0,0,0,0,14,80,0,0,0,0,524,3606,0,2,2,129,0,0,0,0,3257,660,0,0,0,307
103966,wsg,1786197135058,22033,Moofire,11,1,0,-1,0,0,0,1,5,10,11,44,900,679,49,1,104,16016,1,4,7,226,0,0,0,0,6408,6670,0,0,0,1033
103966,wsg,1786197135058,22035,Jake,8,0,0,1,0,0,0,0,0,0,73,382,553,0,38,1,1359,4597,10,0,21,417,0,0,0,0,10853,2023,0,0,0,1033
103966,wsg,1786197135058,22042,Almostwenty,3,1,0,-1,0,0,0,0,0,0,40,200,900,559,85,2,5717,12163,2,4,9,261,0,0,0,0,14426,2281,0,0,0,1033
103966,wsg,1786197135058,22048,Boce,1,1,0,-1,0,0,4,0,18,25,59,562,391,0,0,0,2178,9597,1,4,6,224,0,0,0,0,12150,2118,0,1,0,926
103966,wsg,1786197135058,22055,Téch,5,1,0,-1,3,16,0,0,7,21,0,0,2589,1568,0,0,220,5239,1,1,6,239,0,0,0,0,809,3992,0,0,0,872
103966,wsg,1786197135058,22059,Hawkeye,3,1,0,-1,0,0,0,0,4,6,18,88,0,0,0,0,0,5952,4,4,5,209,0,0,0,0,7646,792,0,0,0,558
103966,wsg,1786197135058,22061,Erchal,1,0,0,1,0,0,4,0,16,21,59,483,511,0,0,0,4892,10269,3,4,16,375,0,0,0,0,15929,2949,0,1,0,1033
103966,wsg,1786197135058,22062,Nasral,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17
103966,wsg,1786197135058,22066,Aos,5,1,0,-1,8,6,0,0,10,50,0,0,1524,2017,0,0,13,2556,0,1,17,352,0,0,0,0,47,9430,0,0,1,1115
103966,wsg,1786197135058,22068,Jonas,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23
103966,wsg,1786197135058,22070,Boss,8,0,0,1,0,0,0,0,21,129,60,274,0,0,0,0,613,3076,2,0,15,393,0,0,0,0,6381,1797,0,0,0,865
103966,wsg,1786197135058,22071,Strong,1,1,0,-1,0,0,0,0,8,9,52,535,900,660,97,2,862,11387,2,4,6,225,0,0,0,0,8516,2582,1,1,0,769
103966,wsg,1786197135058,22083,Arty,9,0,0,1,0,0,0,0,12,32,0,0,29,0,0,0,1494,4866,8,0,19,377,0,0,0,0,17780,2352,0,0,0,799
103966,wsg,1786197135058,22085,Muffinman,2,0,0,1,0,13,0,0,5,11,0,0,770,0,0,0,1911,3212,1,0,14,224,0,0,0,0,6143,2602,0,1,0,533
103966,wsg,1786197135058,22088,Kony,11,1,0,-1,0,0,0,0,2,2,0,0,900,1791,219,3,187,8003,0,2,2,193,0,0,0,0,661,2816,1,0,0,620
